"","user_id","created_at","followers_count","following_count","tweets_count","sensitive_tweets_count","retweets_average","mentions_average","sentiment_average","retweeted_sentiment_average","user_coef","poli_affil","poli_rating"
"170",10400902,2007,7823,8289,82783,0,645.22,0.97,-0.002748,-0.0426607142857143,2.14434557685908,"left",0.5
"171",10421232,2007,23490,10524,24466,0,7.73,2.31,0.142963,NA,1.82215824908909,"left",0.2
"172",10505032,2007,645,1055,19525,1,584.96,0.33,0.001453,NA,0,"left",1
"173",10588782,2007,387,385,38678,0,2107.86,0.71,0.072597,0.00607037037037037,0.416937147532405,"left",1
"174",10684532,2007,2422,3962,17130,0,1342.51,1.4,-0.04822,NA,0.595624496474865,"left",1
"175",10741662,2007,19370,19287,43652,0,1.86,1,0.266305,NA,2.00129830815555,"left",0.888888888888889
"176",10747452,2007,41,120,663,0,1462.8096,0.7072,0.05335008,NA,0.625405721298608,"right",1.16666666666667
"177",10782182,2007,44409,43633,56790,0,10.55,0.73,0.356568,NA,2.14424818730951,"left",0.857142857142857
"178",10922942,2007,4509,4946,43766,0,593.34,0.59,0.021798,NA,1.56351430324652,"left",0.891304347826087
"179",10950112,2007,1930,3025,17876,0,4285.22,0.69,0.10198,NA,0,"left",1
"180",10966242,2007,1042,4054,14055,0,1110.63,1.28,0.206491,0.144943636363636,0.592086385149651,"left",1.16666666666667
"181",10970632,2007,4933,1098,15578,0,0.51,0.76,-0.180617,NA,2.01361014689152,"left",0.4
"182",11001222,2007,551,565,90593,0,1665.9,0.72,-0.168084,NA,-0.307564667081283,"left",1.34285714285714
"183",11036912,2007,1258,1509,22933,0,1003.85,1.12,0.050703,NA,0.79597091801641,"left",1
"184",11076222,2007,1354,4981,197950,0,998.11,1.49,0.037123,NA,1.55828887679039,"left",0.666666666666667
"185",11109032,2007,830,4950,18421,0,1275.21,1.2,0.112885,NA,0.721871323831929,"left",0.904761904761905
"186",11125672,2007,7924,3709,2539,0,104,0.96,0.092535,0.0951742857142857,1.25081144259722,"left",1
"187",11232952,2007,539,33,39732,0,2564.25,1.11,0.164862,0.17099247311828,0.588617149457513,"left",1
"188",11307052,2007,1218,1040,3288,0,4466.61,1.32,0.349368,NA,1.93515131766095,"left",0.6
"189",11344082,2007,633,918,6213,0,1184.06,0.82,-0.111182,-0.0244032258064516,1.77705925023104,"left",0.272727272727273
"190",11345012,2007,22172,2654,80484,0,147.84,0.77,0.089045,NA,-0.623663644080506,"left",0.6
"191",11372232,2007,211,1597,2292,0,279.83,1.47,-0.026256,-0.00171515151515151,0.402373709139724,"left",1.14285714285714
"192",11423952,2007,2178,1524,118759,0,599.09,0.62,0.044537,NA,1.93088832117066,"left",0.80952380952381
"193",11435642,2007,175844,4602,191021,0,321.65,0.97,0.029613,NA,1.141091140615,"left",0.888888888888889
"194",11493072,2007,113,1011,3444,0,4573.38,1.14,0.026837,NA,1.49791858822526,"left",0.833333333333333
"195",11537382,2007,4541,4988,55347,0,147.92,0.95,0.144792,NA,-0.0938405545728204,"left",1.33333333333333
"196",11578732,2007,16904,2296,33323,0,634.63,0.66,0.022479,NA,2.08758516149744,"left",0.833333333333333
"197",11579212,2007,15961,11101,13695,0,1764.77,0.99,0.100247,NA,2.50162288519443,"left",0.75
"198",11580572,2007,447,1095,29096,0,1605.02925448254,0.6341616860648,-0.0591450456118276,NA,1.08403658358425,"right",1.41666666666667
"199",11590932,2007,1244,5000,36424,0,498.82,2.96,0.026005,NA,1.95779182319564,"left",0.722222222222222
"200",11609972,2007,13182,14496,255796,1,228.99,1.48,0.10591,NA,2.03932614091808,"left",0.25
"201",11615132,2007,2044,794,3152,0,808.94,1.31,0.006028,NA,0.500324577038887,"left",1
"202",11616202,2007,36704,1970,505,0,6,1,0,NA,1.87847006635007,"left",0.166666666666667
"203",11621822,2007,112867,2674,52867,0,347.82,1.27,0.037784,NA,1.97057777521745,"left",0.4
"204",11647222,2007,352,514,12936,0,1417.76,1,-0.018854,NA,0.539565720336054,"left",1
"205",11679902,2007,2490,2925,31933,0,245.5065625,1.515625,0.18674165625,NA,2.50162288519443,"right",0.428571428571428
"206",11692802,2007,1093,571,71911,0,0.17,0.87,0.123964,NA,2.50162288519443,"left",0.714285714285714
"207",11700672,2007,1744,1806,34832,0,275.52,1.09,-0.043492,NA,1.25081144259722,"left",0.866666666666667
"208",11744152,2008,712592,33495,219137,0,287.09,0.78,0.10017,NA,1.49086616390375,"left",0.928571428571429
"209",11770362,2008,23,140,14592,0,261.4,0.07,-0.189961,NA,1.59504590089417,"left",0.576923076923077
"210",11870512,2008,138,560,5352,0,18.99,1.26,0.016383,NA,2.50162288519443,"left",0.857142857142857
"211",11918372,2008,6503,7154,31400,0,359.43,1.49,0.150471,NA,2.01693658385542,"left",0.571428571428571
"212",11965442,2008,838,341,6602,0,5399.08,1.07,0.107442,NA,0.555916196709874,"left",1
"213",11982802,2008,2550,5003,103491,0,1936.76,1.82,0.076352,NA,-1.15017944966568,"left",1.96581196581197
"214",11997152,2008,185,1328,7083,0,34.15,0.14,0.00978,-0.0205,1.54734001735087,"left",0.636363636363636
"215",12063392,2008,1021,2365,14435,0,1971.44,1.13,-0.030572,-0.030709375,-0.93295091501177,"left",1.125
"216",12193342,2008,58003,12105,152430,0,1030.83,1.14,0.083651,-0.0719923076923077,0.978895911597822,"left",1
